,rank,initialrating,finalrating
0,1,1861,2234
1,2,1308,1831
2,3,1664,1979
3,4,1748,2087
4,5,1821,2064
5,6,1800,2041
6,7,1635,1922
7,8,1206,1698
8,9,1615,1949
9,10,100,852
10,11,100,847
11,12,1871,2068
12,13,100,840
13,14,1857,2050
14,14,1771,1990
15,16,1895,2073
16,17,1482,1838
17,18,1551,1864
18,19,996,1525
19,20,1871,2044
20,21,1877,2045
21,22,1880,2045
22,23,100,813
23,24,1750,1952
24,25,1256,1688
25,26,1841,2011
26,27,1670,1890
27,28,1733,1987
28,29,1697,1905
29,30,100,800
30,31,1308,1649
31,32,1794,1968
32,33,1367,1729
33,34,1836,1995
34,35,564,1191
35,36,1229,1650
36,36,1800,1965
37,38,1655,1863
38,39,1718,1905
39,40,1778,1945
40,41,1858,2000
41,42,1886,2019
42,43,1853,1994
43,44,1775,1938
44,45,1518,1762
45,46,1854,1991
46,47,1881,2009
47,48,1771,1931
48,49,1389,1723
49,50,1866,1996
50,51,1711,1886
51,52,1780,1933
52,53,1894,2013
53,54,1875,1998
54,55,100,770
55,56,1763,1918
56,57,1484,1782
57,58,1896,2010
58,59,1870,1991
59,60,1371,1700
60,61,1759,1911
61,62,1621,1815
62,63,1806,1942
63,64,1781,1924
64,65,1679,1852
65,66,1649,1831
66,67,1878,1990
67,68,1714,1874
68,69,1786,1923
69,70,1671,1843
70,71,1831,1953
71,72,1637,1818
72,73,1794,1926
73,74,1299,1595
74,75,1855,1968
75,76,1694,1854
76,77,1807,1932
77,78,1862,1971
78,79,1690,1849
79,80,1666,1832
80,81,1886,1986
81,82,1889,1988
82,83,1724,1870
83,84,1830,1944
84,85,1865,1969
85,86,1758,1892
86,87,1773,1902
87,88,1848,1955
88,89,1642,1810
89,90,1861,1963
90,91,1826,1937
91,92,1879,1975
92,93,1555,1749
93,94,1426,1663
94,95,1580,1764
95,96,1726,1864
96,97,1703,1848
97,98,1642,1859
98,99,1751,1880
99,100,1761,1886
100,101,1564,1750
101,102,1869,1962
102,103,1195,1574
103,104,1739,1869
104,105,1748,1875
105,106,1886,1972
106,106,1791,1904
107,108,1646,1803
108,109,1840,1938
109,110,1781,1896
110,111,1725,1856
111,112,1825,1926
112,113,1650,1836
113,113,1806,1911
114,113,790,1295
115,113,1865,1953
116,117,1271,1597
117,118,1890,1970
118,118,1761,1877
119,120,1723,1850
120,121,1707,1839
121,122,1714,1843
122,123,1730,1854
123,124,1862,1947
124,125,1773,1883
125,126,1520,1709
126,127,1878,1957
127,127,1820,1916
128,129,1707,1835
129,130,100,726
130,131,1637,1787
131,132,1451,1661
132,133,1841,1929
133,134,1845,1932
134,135,1255,1579
135,136,1678,1813
136,137,1850,1934
137,137,100,723
138,139,1825,1916
139,140,1733,1850
140,141,1639,1784
141,142,1848,1931
142,143,1637,1817
143,143,1614,1766
144,145,1756,1864
145,145,601,1139
146,147,1688,1816
147,147,1526,1705
148,149,1522,1701
149,149,1868,1943
150,151,1683,1811
151,152,1705,1826
152,153,1837,1919
153,154,1767,1869
154,155,1827,1912
155,156,1873,1944
156,156,479,1054
157,156,1707,1826
158,159,1543,1765
159,160,1831,1913
160,161,1857,1931
161,162,1723,1835
162,163,1763,1863
163,164,1868,1938
164,165,1694,1814
165,165,663,1174
166,167,1655,1786
167,168,1852,1925
168,169,1801,1888
169,170,1687,1807
170,170,1639,1774
171,172,1643,1777
172,173,1611,1754
173,174,1817,1898
174,175,1801,1887
175,176,1791,1879
176,177,1140,1447
177,178,1876,1940
178,179,1731,1836
179,180,1783,1872
180,181,1889,1948
181,181,1799,1883
182,183,1696,1810
183,183,1301,1545
184,185,1826,1901
185,185,1738,1838
186,185,1704,1815
187,188,1834,1907
188,188,100,706
189,190,1697,1809
190,191,1861,1926
191,192,1206,1550
192,192,100,705
193,194,1834,1905
194,194,1396,1637
195,196,1846,1914
196,197,1758,1850
197,197,1551,1706
198,199,1607,1744
199,200,1659,1780
200,200,1892,1946
201,202,1711,1816
202,202,1645,1770
203,204,1836,1904
204,204,1780,1864
205,206,1705,1810
206,207,1868,1926
207,208,1783,1865
208,209,1117,1423
209,210,1878,1933
210,210,1802,1878
211,212,1886,1938
212,212,1754,1843
213,212,1649,1769
214,215,1792,1870
215,216,1821,1890
216,217,1614,1744
217,218,1352,1617
218,219,704,1186
219,220,1713,1812
220,221,1439,1624
221,221,1766,1849
222,221,1410,1604
223,224,1624,1749
224,224,1698,1800
225,226,1767,1849
226,227,1719,1815
227,228,1388,1643
228,228,1702,1802
229,230,1698,1799
230,231,1871,1923
231,231,1740,1829
232,233,1637,1756
233,233,1676,1783
234,235,1587,1721
235,236,1845,1903
236,237,1777,1854
237,237,1830,1892
238,239,1520,1674
239,240,1790,1862
240,241,1645,1759
241,241,1848,1904
242,243,1812,1877
243,244,1767,1845
244,245,1652,1763
245,245,1666,1773
246,247,1292,1571
247,248,1671,1776
248,249,1714,1806
249,249,1809,1873
250,249,1828,1887
251,252,1709,1802
252,252,1640,1753
253,254,1694,1791
254,255,1882,1925
255,255,1711,1802
256,255,1790,1858
257,255,1778,1850
258,259,1656,1764
259,260,1790,1859
260,261,1648,1792
261,261,1659,1800
262,263,1642,1753
263,264,1557,1694
264,265,1716,1805
265,266,1790,1857
266,266,1669,1771
267,268,1053,1369
268,269,1659,1764
269,270,1484,1643
270,271,1805,1867
271,272,1728,1811
272,272,1271,1552
273,274,1837,1889
274,275,1457,1623
275,276,1820,1877
276,277,1783,1849
277,277,1706,1795
278,277,1027,1351
279,280,1635,1744
280,281,1568,1698
281,282,1798,1860
282,283,1843,1892
283,284,1625,1736
284,285,1775,1843
285,286,1720,1803
286,286,1849,1895
287,288,1439,1608
288,288,1744,1819
289,288,1890,1925
290,288,649,1133
291,292,1724,1805
292,292,1847,1893
293,294,1500,1648
294,295,1836,1884
295,296,1827,1878
296,297,1539,1674
297,297,988,1373
298,297,1830,1880
299,300,1768,1835
300,301,1846,1891
301,302,1724,1803
302,303,1838,1885
303,303,1761,1829
304,303,1714,1795
305,306,1639,1742
306,306,1714,1795
307,306,1685,1775
308,309,1842,1887
309,310,1625,1731
310,310,1542,1674
311,312,1661,1757
312,312,1291,1558
313,314,1840,1884
314,315,1602,1715
315,315,1689,1776
316,315,1899,1927
317,318,1709,1790
318,319,1652,1749
319,319,1635,1737
320,319,1558,1683
321,322,1841,1884
322,322,1709,1789
323,324,1659,1753
324,324,1772,1833
325,326,1763,1826
326,326,1700,1782
327,328,1812,1862
328,329,1848,1888
329,330,1777,1837
330,331,1485,1632
331,331,1862,1898
332,331,1384,1529
333,334,100,674
334,335,1884,1913
335,335,1897,1923
336,335,1872,1904
337,338,1539,1668
338,339,1665,1756
339,339,100,673
340,341,1814,1862
341,341,1461,1614
342,343,1712,1788
343,344,1714,1789
344,345,1893,1918
345,345,1802,1852
346,345,1561,1682
347,348,1702,1780
348,349,1508,1645
349,350,1805,1854
350,351,1771,1829
351,351,1693,1773
352,353,1757,1819
353,354,1759,1820
354,354,1820,1864
355,356,1208,1493
356,357,1822,1865
357,357,1477,1676
358,359,1836,1875
359,359,1771,1827
360,361,1885,1911
361,362,1741,1806
362,363,1608,1711
363,363,1466,1667
364,363,1796,1845
365,363,1441,1597
366,367,1608,1711
367,368,1685,1765
368,369,1801,1848
369,369,1640,1733
370,371,1579,1690
371,371,1635,1729
372,373,1681,1761
373,374,1725,1793
374,375,100,668
375,376,1668,1752
376,377,1766,1821
377,378,1671,1753
378,379,1854,1885
379,380,1824,1864
380,381,1778,1830
381,381,1694,1770
382,381,1774,1827
383,384,1515,1644
384,385,899,1256
385,385,1773,1825
386,387,100,666
387,388,1646,1735
388,388,1832,1868
389,390,1869,1895
390,391,1725,1790
391,392,1640,1730
392,393,1711,1780
393,393,1756,1813
394,395,1841,1873
395,396,1712,1780
396,397,1685,1761
397,397,1449,1597
398,397,1693,1766
399,400,1351,1587
400,401,1803,1845
401,402,1719,1785
402,403,592,1075
403,403,1589,1693
404,405,1705,1774
405,406,1889,1907
406,406,1695,1767
407,406,1065,1349
408,406,1678,1754
409,410,1703,1772
410,410,1817,1854
411,410,1821,1857
412,413,785,1219
413,414,1739,1798
414,415,1689,1761
415,416,1395,1558
416,417,1717,1781
417,418,1685,1758
418,419,1771,1820
419,419,1585,1688
420,419,1354,1530
421,422,1632,1720
422,423,1893,1909
423,424,1745,1800
424,424,1537,1653
425,426,1739,1796
426,427,1580,1683
427,428,1688,1759
428,429,1387,1551
429,429,1738,1811
430,431,1504,1630
431,432,1494,1657
432,432,1616,1708
433,434,1725,1785
434,435,1734,1791
435,436,1800,1839
436,436,1679,1752
437,438,1681,1753
438,438,1750,1802
439,440,1800,1838
440,440,1683,1754
441,442,1739,1794
442,443,1805,1842
443,444,1550,1660
444,445,1660,1737
445,446,1788,1829
446,446,839,1243
447,448,1899,1910
448,448,1618,1707
449,450,1611,1737
450,451,1758,1806
451,452,1605,1754
452,453,1767,1812
453,454,1870,1888
454,455,1765,1811
455,455,1670,1743
456,457,1592,1688
457,458,1696,1761
458,458,1744,1795
459,460,1867,1885
460,461,1823,1853
461,462,1774,1817
462,463,1881,1895
463,464,1667,1740
464,465,1768,1812
465,466,1602,1693
466,466,1730,1784
467,466,1713,1772
468,466,1750,1799
469,470,1765,1810
470,471,1723,1779
471,472,1571,1671
472,473,1538,1648
473,474,1746,1795
474,475,804,1223
475,476,1582,1679
476,477,1717,1774
477,478,1184,1459
478,479,1612,1699
479,480,1547,1653
480,481,1682,1748
481,482,1845,1866
482,482,1469,1653
483,484,1683,1749
484,485,1653,1727
485,485,1582,1677
486,487,1669,1739
487,487,1582,1677
